HEADER
ITEM:    zlo    zhi    bin-span    bin-count    measure    delimiter
-95.000000 70.000000   3.437500      48     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    N    O    C|0    C|3    C|6    H|0    N|0    O|0    O|3    C|0|Sp3    C|3|Sp3    C|6|Sp2    H|0|Terminal    N|0|Sp2    O|0|Sp3    O|3|Sp3    C1008|[6]|    C11-H18-N2|[6]|C6    C11-H18-N2|[]|    C19-H20-O4|[3]|C2-O1    C19-H20-O4|[6]|C6    C19-H20-O4|[]|
34    18.4375    21.8750    20.1562    100.0000    0.0000    0.0000    0.0000    0.0000    0.0000    100.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    100.0000    0.0000    0.0000    0.0000    0.0000    100.0000    0.0000    0.0000    0.0000    0.0000    0.0000
35    21.8750    25.3125    23.5938    61.0838    12.1318    2.3744    24.4099    16.2890    20.3613    24.4335    12.1318    2.3744    8.1366    16.2733    16.2890    20.3613    24.4335    12.1318    2.3744    8.1366    16.2733    0.0000    0.0000    10.8750    36.6346    24.4335    28.0569
36    25.3125    28.7500    27.0312    75.3795    6.3258    4.0523    14.2424    16.5728    9.3556    49.4511    6.3258    4.0523    8.1894    6.0530    16.5728    9.3556    49.4511    6.3258    4.0523    8.1894    6.0530    0.0000    8.8210    13.8473    15.4086    40.6301    21.2930
37    28.7500    32.1875    30.4688    73.4354    7.7308    2.6761    16.1576    17.7032    12.1300    43.6023    7.7308    2.6761    8.2972    7.8605    17.7032    12.1300    43.6023    7.7308    2.6761    8.2972    7.8605    0.0000    12.7856    13.5934    19.9904    30.8166    22.8139
38    32.1875    35.6250    33.9062    72.4683    7.0733    4.7151    15.7433    13.9960    12.7519    45.7204    7.0733    4.7151    7.0430    8.7002    13.9960    12.7519    45.7204    7.0733    4.7151    7.0430    8.7002    0.0000    7.7756    13.3868    21.4522    37.9448    19.4407
39    35.6250    39.0625    37.3438    73.9034    7.3014    3.1339    15.6613    18.1399    12.4292    43.3343    7.3014    3.1339    8.5019    7.1595    18.1399    12.4292    43.3343    7.3014    3.1339    8.5019    7.1595    0.0000    7.3903    13.4795    19.5887    35.9439    23.5975
40    39.0625    42.5000    40.7812    71.5107    7.4655    2.7930    18.2307    16.7657    12.6598    42.0853    7.4655    2.7930    8.2038    10.0269    16.7657    12.6598    42.0853    7.4655    2.7930    8.2038    10.0269    0.0000    9.2382    12.3304    22.6867    32.8470    22.8976
41    42.5000    45.9375    44.2188    75.0573    7.1590    1.9279    15.8558    13.5566    12.2340    49.2667    7.1590    1.9279    8.3683    7.4875    13.5566    12.2340    49.2667    7.1590    1.9279    8.3683    7.4875    0.0000    5.2904    6.7328    19.7215    43.9763    24.2790
42    45.9375    49.3750    47.6562    74.4481    6.6167    2.1979    16.7373    15.0781    10.9944    48.3756    6.6167    2.1979    10.0424    6.6949    15.0781    10.9944    48.3756    6.6167    2.1979    10.0424    6.6949    0.0000    5.6543    10.5081    17.6894    42.7213    23.4270
43    49.3750    52.8125    51.0938    71.7069    8.0235    5.5747    14.6949    18.0187    14.7091    38.9791    8.0235    5.5747    5.3881    9.3068    18.0187    14.7091    38.9791    8.0235    5.5747    5.3881    9.3068    0.0000    13.2382    17.6070    24.0159    25.7409    19.3980
44    52.8125    56.2500    54.5312    75.0975    7.2738    3.0863    14.5423    17.8646    10.2556    46.9773    7.2738    3.0863    7.9322    6.6101    17.8646    10.2556    46.9773    7.2738    3.0863    7.9322    6.6101    0.0000    9.5940    14.5173    16.8657    37.3834    21.6397
45    56.2500    59.6875    57.9688    73.8182    6.9602    3.6560    15.5656    15.6757    9.4054    48.7371    6.9602    3.6560    8.3523    7.2133    15.6757    9.4054    48.7371    6.9602    3.6560    8.3523    7.2133    0.0000    9.9754    14.0999    16.6187    38.7617    20.5442
46    59.6875    63.1250    61.4062    68.1074    7.7484    4.5034    19.6409    17.9045    15.4470    34.7558    7.7484    4.5034    7.4822    12.1586    17.9045    15.4470    34.7558    7.7484    4.5034    7.4822    12.1586    0.0000    9.8299    15.0233    27.6057    24.9259    22.6152
47    63.1250    66.5625    64.8438    74.6792    7.3467    2.9273    15.0468    16.0027    13.1787    45.4979    7.3467    2.9273    8.7773    6.2695    16.0027    13.1787    45.4979    7.3467    2.9273    8.7773    6.2695    0.0000    7.2169    11.5969    19.4482    38.2810    23.4571
48    66.5625    70.0000    68.2812    75.2726    7.0098    3.3334    14.3842    16.5155    11.1162    47.6409    7.0098    3.3334    6.7690    7.6152    16.5155    11.1162    47.6409    7.0098    3.3334    6.7690    7.6152    0.0000    10.4810    13.5657    18.7314    37.1599    20.0620
