RMS Perpendicular Distance, count C6, count C4-N1
24.145305184327047, 31.32, 10.32
24.39296641276431, 32.08, 10.32
24.66161056916288, 32.0, 10.2
24.88599750605461, 31.6, 10.08
25.136796443653697, 31.48, 10.12
25.418639465867034, 31.4, 10.16
25.606361576641152, 32.08, 10.32
25.84026829209454, 32.12, 10.2
26.117215397993228, 31.84, 10.32
26.367182088120117, 31.2, 10.32
26.626928075780405, 31.36, 10.32
26.907281311717078, 32.0, 10.4
27.126033861927887, 32.36, 10.68
27.362821159888256, 31.6, 10.48
27.64810418968313, 30.84, 10.4
27.859430520430333, 31.04, 10.28
28.152144157323022, 31.16, 10.12
28.316869745186114, 31.64, 10.04
28.648216385631393, 31.48, 10.64
28.892065522024286, 30.84, 10.68
29.139200147906667, 30.88, 10.6
29.374059291463265, 30.8, 10.6
29.64671060144562, 31.24, 10.52
29.892768663585752, 30.64, 10.4
30.124444567632533, 30.0, 10.56
30.385372473173405, 30.04, 10.52
30.592102690925035, 30.36, 10.8
30.907373167077086, 31.2, 10.92
31.13958092842767, 30.72, 10.88
31.375421485367763, 29.8, 10.84
31.6628791164653, 30.0, 10.56
31.89306803452031, 30.32, 10.36
32.12353050457768, 31.16, 10.44
32.36731968546342, 30.44, 10.16
32.657938041823066, 30.32, 10.12
32.89212421096066, 30.24, 10.0
33.11421420187458, 30.2, 9.92
33.3841402374219, 30.84, 9.68
33.62065389386578, 30.28, 9.88
33.8615861314206, 30.24, 9.6
34.110814797034635, 30.44, 9.76
34.37074617132764, 30.32, 9.76
34.611390179519695, 30.48, 9.8
34.88851519374843, 30.28, 9.32
35.13418438029408, 30.16, 9.2
35.36817486348092, 30.48, 9.16
35.64089570914325, 30.64, 9.24
35.91966327788394, 31.04, 9.2
36.15202377883686, 30.96, 9.08
36.33612016863968, 30.84, 8.96
36.60164798333035, 31.16, 8.68
36.896323149258, 31.0, 8.36
37.11365069666143, 30.88, 8.4
37.3827700117762, 30.88, 8.48
37.62042262448718, 30.88, 8.48
37.936455773721214, 31.16, 8.48
38.12511722937056, 30.64, 8.8
38.36706510323655, 30.4, 8.96
38.63360826133772, 30.72, 9.04
38.8956792559401, 30.52, 9.0
39.10360067092241, 31.28, 9.16
39.40546555717712, 31.04, 9.2
39.60035445911376, 30.52, 9.08
39.87091501216629, 30.48, 9.08
40.10056476297907, 30.36, 9.16
40.41937378320283, 31.12, 9.04
40.64624251452955, 31.44, 9.16
40.89797066673089, 30.96, 9.04
41.08150004496986, 30.48, 9.04
41.38544080150842, 30.64, 8.92
41.64812848807042, 31.2, 9.04
41.85118283750145, 31.44, 9.04
42.111574562995436, 30.64, 9.28
42.336191290180125, 30.4, 9.32
42.582481522740196, 30.4, 9.16
42.927265759461285, 30.84, 9.32
43.10743368372755, 31.52, 9.36
43.35990489921445, 31.0, 9.04
43.6650268725599, 30.64, 8.84
43.89068540859472, 30.48, 8.64
44.12436887010914, 31.16, 8.72
44.34876111247507, 31.76, 8.36
44.6764464584676, 29.56, 7.88
44.817580992380535, 27.96, 7.64
