Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane,2173, C6,23.42,41.54,0,0,0,0,0,0,23.42,-14.39,1.63
0.1, x-dummy-plane,2669, C5,-23.44,48.37,0,0,0,0,0,0,-23.44,4.37,5.68
0.1, x-dummy-plane,3037, C7,-23.45,68.7,0,0,0,0,0,0,-23.45,6.84,9.67
0.1, x-dummy-plane,2592, C5,23.45,49.95,0,0,0,0,0,0,23.45,-9.44,3.83
0.1, x-dummy-plane,588, C5,-23.45,53.84,0,0,0,0,0,0,-23.45,-13.78,-18.87
0.1, x-dummy-plane,4094, C5,23.45,58.93,0,0,0,0,0,0,23.45,16.47,23.68
0.1, x-dummy-plane,969, C6,23.46,72.59,0,0,0,0,0,0,23.46,-17.5,-12.64
0.1, x-dummy-plane,3759, C5,-23.48,65.1,0,0,0,0,0,0,-23.48,2.12,19.37
0.1, x-dummy-plane,1233, C5,-23.48,48.05,0,0,0,0,0,0,-23.48,23.36,-10.81
0.1, x-dummy-plane,3193, C6,23.5,59.26,0,0,0,0,0,0,23.5,23.88,8.25
0.1, x-dummy-plane,1458, C7,-23.5,44.45,0,0,0,0,0,0,-23.5,0.82,-7.64
0.1, x-dummy-plane,1500, C5,23.51,75.62,0,0,0,0,0,0,23.51,-1.72,-6.39
0.1, x-dummy-plane,884, C7,-23.53,48.49,0,0,0,0,0,0,-23.53,-24.2,-13.11
0.1, x-dummy-plane,1572, C6,-23.53,24.73,0,0,0,0,0,0,-23.53,12.61,-5.71
0.1, x-dummy-plane,831, C7,23.54,69.69,0,0,0,0,0,0,23.54,13.84,-16.89
0.1, x-dummy-plane,3175, C7,23.54,89.65,0,0,0,0,0,0,23.54,20.61,8.44
0.1, x-dummy-plane,1889, C6,-23.55,85.06,0,0,0,0,0,0,-23.55,6.93,-4.57
0.1, x-dummy-plane,1699, C6,23.55,89.91,0,0,0,0,0,0,23.55,-22.44,-4.75
0.1, x-dummy-plane,1652, C6,23.57,81.55,0,0,0,0,0,0,23.57,23.12,-6.64
0.1, x-dummy-plane,1785, C6,-23.58,88.13,0,0,0,0,0,0,-23.58,-10.02,-3.83
0.1, x-dummy-plane,2112, C5,-23.58,44.1,0,0,0,0,0,0,-23.58,-15.56,0.61
0.1, x-dummy-plane,2831, C7,-23.58,33.66,0,0,0,0,0,0,-23.58,-20.53,9.05
0.1, x-dummy-plane,160, C6,-23.59,56.24,0,0,0,0,0,0,-23.59,-9.55,-25.37
0.1, x-dummy-plane,2022, C7,-23.6,83.55,0,0,0,0,0,0,-23.6,21.25,-1.34
0.1, x-dummy-plane,2178, C6,-23.6,49.35,0,0,0,0,0,0,-23.6,-8.92,2.6
0.1, x-dummy-plane,1974, C5,23.61,74.48,0,0,0,0,0,0,23.61,13.3,-4.2
0.1, x-dummy-plane,3113, C6,-23.62,50.77,0,0,0,0,0,0,-23.62,15.09,12.73
0.1, x-dummy-plane,1947, C6,23.62,74.77,0,0,0,0,0,0,23.62,11.07,-4.32
0.1, x-dummy-plane,3548, C6,23.62,83.78,0,0,0,0,0,0,23.62,20.02,14.87
0.1, x-dummy-plane,1162, C6,23.63,55.99,0,0,0,0,0,0,23.63,10.12,-13.84
0.1, x-dummy-plane,3375, C5,23.65,23.32,0,0,0,0,0,0,23.65,-1.69,16.54
0.1, x-dummy-plane,2346, C7,-23.66,50.03,0,0,0,0,0,0,-23.66,13.48,1.17
0.1, x-dummy-plane,2939, C6,-23.67,55.6,0,0,0,0,0,0,-23.67,-8.6,10.93
0.1, x-dummy-plane,1414, C6,23.67,66.14,0,0,0,0,0,0,23.67,-10.32,-7.18
0.1, x-dummy-plane,1570, C5,-23.69,27.52,0,0,0,0,0,0,-23.69,14.29,-7.21
0.1, x-dummy-plane,3959, C7,23.7,55.05,0,0,0,0,0,0,23.7,-23.58,23.71
0.1, x-dummy-plane,58, C5,-23.7,61.89,0,0,0,0,0,0,-23.7,-15.72,-22.06
0.1, x-dummy-plane,3484, C7,-23.71,74.8,0,0,0,0,0,0,-23.71,13.88,15.16
0.1, x-dummy-plane,432, C5,-23.72,34.4,0,0,0,0,0,0,-23.72,18.33,-24.23
0.1, x-dummy-plane,2525, C7,-23.72,77.57,0,0,0,0,0,0,-23.72,-10.93,5.1
0.1, x-dummy-plane,3112, C5,-23.72,46.45,0,0,0,0,0,0,-23.72,15.86,10.66
0.1, x-dummy-plane,2428, C7,-23.73,38.67,0,0,0,0,0,0,-23.73,-23.29,4.28
0.1, x-dummy-plane,158, C5,-23.73,51.27,0,0,0,0,0,0,-23.73,-7.81,-23.95
