Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane, 230, C4-O1, 16.72, 80.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.72, 17.22, -0.26
0.1, x-dummy-plane, 324, C4-O1, -16.78, 100.71, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -16.78, -7.62, 16.23
0.1, x-dummy-plane, 374, C4-O1, 16.79, 61.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.79, 10.31, 2.87
0.1, x-dummy-plane, 86, C6, 16.80, 141.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.80, 12.32, -10.91
0.1, x-dummy-plane, 149, C4-O1, -16.83, 130.43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -16.83, -5.57, 9.76
0.1, x-dummy-plane, 382, C4-O1, 16.91, 45.98, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.91, 16.76, 10.42
0.1, x-dummy-plane, 25, C4-O1, -16.92, 13.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -16.92, -3.27, -16.73
0.1, x-dummy-plane, 254, C4-O1, 16.93, 107.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.93, 6.00, 9.93
0.1, x-dummy-plane, 383, C4-O1, -16.94, 147.57, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -16.94, -17.67, 17.98
0.1, x-dummy-plane, 179, C4-O1, -16.99, 136.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -16.99, -16.46, -14.75
0.1, x-dummy-plane, 89, C4-O1, 17.00, 47.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.00, 13.06, -12.90
0.1, x-dummy-plane, 389, C4-O1, 17.01, 39.76, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.01, 16.07, 18.77
0.1, x-dummy-plane, 234, C4-O1, 17.02, 67.89, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.02, 12.52, -2.91
0.1, x-dummy-plane, 233, C4-O1, 17.02, 84.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.02, -16.57, -3.26
0.1, x-dummy-plane, 174, C4-O1, -17.02, 141.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -17.02, -13.65, 4.58
0.1, x-dummy-plane, 156, C6, -17.04, 79.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -17.04, -5.61, -0.06
0.1, x-dummy-plane, 101, C4-O1, -17.05, 66.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -17.05, 16.57, -15.13
0.1, x-dummy-plane, 381, C4-O1, 17.12, 49.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.12, -13.53, 14.23
0.1, x-dummy-plane, 87, C4-O1, 17.17, 59.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.17, 12.42, -10.42
0.1, x-dummy-plane, 88, C4-O1, 17.20, 63.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.20, 12.67, -11.35
0.1, x-dummy-plane, 231, C4-O1, 17.21, 156.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.21, 17.14, -1.10
0.1, x-dummy-plane, 92, C4-O1, 17.21, 149.97, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.21, 15.83, -7.88
0.1, x-dummy-plane, 320, C4-O1, 17.22, 116.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.22, 2.02, 14.16
0.1, x-dummy-plane, 168, C4-O1, 17.23, 96.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.23, -11.84, -2.72
0.1, x-dummy-plane, 11, C4-O1, -17.23, 73.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -17.23, -9.66, 12.39
0.1, x-dummy-plane, 157, C4-O1, -17.28, 120.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -17.28, -5.63, 0.51
0.1, x-dummy-plane, 235, C4-O1, 17.44, 164.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.44, -18.18, 2.30
0.1, x-dummy-plane, 22, C4-O1, 17.45, 69.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.45, -4.14, -11.55
0.1, x-dummy-plane, 337, C4-O1, 17.46, 70.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.46, 3.48, -15.32
0.1, x-dummy-plane, 326, C4-O1, 17.47, 161.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.47, -5.16, -18.31
0.1, x-dummy-plane, 148, C4-O1, 17.49, 119.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.49, -6.02, 6.53
0.1, x-dummy-plane, 323, C4-O1, 17.54, 103.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.54, -10.57, 18.03
