Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane,67, C6,-28.33,75.99,0,0,0,0,0,0,-28.33,21.75,-27.98
0.1, x-dummy-plane,118, C6,28.42,72.25,0,0,0,0,0,0,28.42,1.08,27.94
0.1, x-dummy-plane,117, C6,28.53,72.25,0,0,0,0,0,0,28.53,-0.55,26.1
0.1, x-dummy-plane,51, C6,-28.61,75.99,0,0,0,0,0,0,-28.61,25.56,-22.73
0.1, x-dummy-plane,109, C6,28.64,72.25,0,0,0,0,0,0,28.64,-2.17,24.26
0.1, x-dummy-plane,108, C6,28.74,72.25,0,0,0,0,0,0,28.74,-3.79,22.42
0.1, x-dummy-plane,195, C6,28.76,81.32,0,0,0,0,0,0,28.76,-27.08,25.13
0.1, x-dummy-plane,346, C6,28.94,81.68,0,0,0,0,0,0,28.94,-23.73,-22.57
0.1, x-dummy-plane,331, C6,28.96,81.68,0,0,0,0,0,0,28.96,-26.45,-25.84
0.1, x-dummy-plane,323, C6,28.98,81.68,0,0,0,0,0,0,28.98,-29.18,-29.11
0.1, x-dummy-plane,208, C6,29.2,81.32,0,0,0,0,0,0,29.2,-23.12,23.65
0.1, x-dummy-plane,66, C6,-29.21,75.99,0,0,0,0,0,0,-29.21,22.94,-26.02
0.1, x-dummy-plane,50, C6,-29.48,75.99,0,0,0,0,0,0,-29.48,26.75,-20.77
0.1, x-dummy-plane,238, C6,-29.62,86.88,0,0,0,0,0,0,-29.62,23.05,29.36
0.1, x-dummy-plane,237, C6,-29.7,86.88,0,0,0,0,0,0,-29.7,23.93,27.07
0.1, x-dummy-plane,196, C6,29.74,81.32,0,0,0,0,0,0,29.74,-29.25,25.75
0.1, x-dummy-plane,243, C6,-29.79,86.88,0,0,0,0,0,0,-29.79,24.81,24.77
0.1, x-dummy-plane,242, C6,-29.87,86.88,0,0,0,0,0,0,-29.87,25.68,22.48
0.1, x-dummy-plane,58, C6,-30.08,75.99,0,0,0,0,0,0,-30.08,24.12,-24.06
0.1, x-dummy-plane,338, C6,30.16,81.68,0,0,0,0,0,0,30.16,-25.22,-24.09
0.1, x-dummy-plane,330, C6,30.18,81.68,0,0,0,0,0,0,30.18,-27.95,-27.35
0.1, x-dummy-plane,202, C6,30.19,81.32,0,0,0,0,0,0,30.19,-25.29,24.26
0.1, x-dummy-plane,119, C6,30.39,72.25,0,0,0,0,0,0,30.39,1.46,29.35
0.1, x-dummy-plane,111, C6,30.5,72.25,0,0,0,0,0,0,30.5,-0.16,27.51
0.1, x-dummy-plane,110, C6,30.61,72.25,0,0,0,0,0,0,30.61,-1.79,25.67
0.1, x-dummy-plane,57, C6,-30.96,75.99,0,0,0,0,0,0,-30.96,25.31,-22.09
0.1, x-dummy-plane,203, C6,31.17,81.32,0,0,0,0,0,0,31.17,-27.45,24.87
0.1, x-dummy-plane,345, C6,31.37,81.68,0,0,0,0,0,0,31.37,-23.99,-22.34
0.1, x-dummy-plane,337, C6,31.39,81.68,0,0,0,0,0,0,31.39,-26.72,-25.6
0.1, x-dummy-plane,65, C6,-31.56,75.99,0,0,0,0,0,0,-31.56,22.68,-25.38
0.1, x-dummy-plane,209, C6,31.61,81.32,0,0,0,0,0,0,31.61,-23.49,23.39
0.1, x-dummy-plane,245, C6,-31.78,86.88,0,0,0,0,0,0,-31.78,23.36,28.24
0.1, x-dummy-plane,244, C6,-31.87,86.88,0,0,0,0,0,0,-31.87,24.23,25.95
0.1, x-dummy-plane,64, C6,-32.44,75.99,0,0,0,0,0,0,-32.44,23.86,-23.42
0.1, x-dummy-plane,112, C6,32.47,72.25,0,0,0,0,0,0,32.47,0.22,28.93
0.1, x-dummy-plane,344, C6,32.59,81.68,0,0,0,0,0,0,32.59,-25.49,-23.85
0.1, x-dummy-plane,210, C6,32.6,81.32,0,0,0,0,0,0,32.6,-25.65,24
